941,1116,6720,"Frostfire Ridge",7506.25,1391.67004395,8275.0,4197.91992188,-1,0,962,0x0,90,93,
945,1116,6723,"Tanaan Jungle",1506.25,-3481.25,5760.41992188,2435.41992188,-1,0,962,0x0,100,100,
946,1116,6662,"Talador",5833.33007813,-129.166000366,4429.16992188,454.165985107,-1,0,962,0x0,94,96,
947,1116,6719,"Shadowmoon Valley DR",2268.75,-4431.25,2660.41992188,-1806.25,-1,0,962,0x0,90,93,
948,1116,6722,"Spires Of Arak",4681.25,-1379.17004395,1383.32995605,-2656.25,-1,0,962,0x0,96,98,
949,1116,6721,"Gorgrond",5066.66992188,-3110.41992188,9589.58007813,4139.58007813,-1,0,962,0x0,92,94,
950,1116,6755,"Nagrand Draenor",9308.33007813,3633.33007813,4922.91992188,1139.57995605,-1,0,962,0x0,98,100,
962,1116,0,"Draenor",12242.34375,-10493.4384766,11193.0,-3964.1875,-1,0,0,0,0,
971,1116,7078,"garrison smv alliance",545.833984375,-137.5,2091.66699219,1635.41699219,-1,0,947,0x1820,0,0,
973,1116,7078,"garrison smv alliance_tier1",545.833984375,-137.5,2091.66699219,1635.41699219,-1,0,947,0x822,0,0,
974,1116,7078,"garrison smv alliance_tier3",545.833984375,-137.5,2091.66699219,1635.41699219,-1,0,947,0x822,0,0,
975,1116,7078,"garrison smv alliance_tier4",545.833984375,-137.5,2091.66699219,1635.41699219,-1,0,947,0x822,0,0,
976,1116,7004,"garrison ff horde",4885.41601563,4183.33300781,5814.58300781,5345.83300781,-1,0,941,0x1820,0,0,
978,1116,6941,"Ashran",-2672.91992188,-5795.83007813,5577.08007813,3495.83007813,-1,0,0,0x0,100,100,
980,1116,7004,"garrison ff horde_tier1",4885.41601563,4183.33300781,5814.58300781,5345.83300781,-1,0,941,0x822,0,0,
981,1116,7004,"garrison ff horde_tier3",4885.41601563,4183.33300781,5814.58300781,5345.83300781,-1,0,941,0x822,0,0,
982,1116,7004,"garrison ff horde_tier4",4885.41601563,4183.33300781,5814.58300781,5345.83300781,-1,0,941,0x822,0,0,
990,1116,7004,"garrison ff horde_tier2",4885.41601563,4183.33300781,5814.58300781,5345.83300781,-1,0,941,0x822,0,0,
991,1116,7078,"garrison smv alliance_tier2",545.833984375,-137.5,2091.66699219,1635.41699219,-1,0,947,0x822,0,0,
1009,1116,7332,"Ashran Alliance Faction Hub",-3625.0,-4312.5,3908.33300781,3450.0,-1,0,978,0x0,0,0,
1011,1116,7333,"Ashran Horde Faction Hub",-3589.58398438,-4389.58398438,5541.66601563,5008.33300781,-1,0,978,0x0,0,0,
