3590,941,6864,6962,6875,0,,,BLADESPIREFORTRESS,356,303,38,117,0,0,0,0
3591,941,7013,6968,0,0,,,BLOODMAULSTRONGHOLD,258,217,311,4,0,0,0,0
3592,941,6994,0,0,0,,,BONESOFAGURAK,273,349,729,319,0,0,0,0
3593,941,6744,0,0,0,,,DAGGERMAWRAVINE,255,191,284,91,0,0,0,0
3594,941,6742,0,0,0,,,FROSTWINDDUNES,274,214,121,0,0,0,0,0
3595,941,6817,0,0,0,,,GRIMFROSTHILL,178,203,597,210,0,0,0,0
3596,941,6775,0,0,0,,,GROMBOLASH,217,239,483,33,0,0,0,0
3597,941,6779,0,0,0,,,GROMGAR,282,341,505,323,0,0,0,0
3598,941,0,0,0,0,,,HORDEGARRISON,267,257,336,327,0,0,0,0
3599,941,6983,0,0,0,,,IRONSIEGEWORKS,329,294,673,156,0,0,0,0
3600,941,6784,0,0,0,,,MAGNAROK,213,278,609,33,0,0,0,0
3601,941,7076,0,0,0,,,IRONWAYSTATION,199,335,641,304,0,0,0,0
3602,941,6777,6964,0,0,,,STONEFANGOUTPOST,251,191,306,281,0,0,0,0
3603,941,6776,0,0,0,,,THEBONESLAG,256,210,290,192,0,0,0,0
3604,941,6774,0,0,0,,,THECRACKLINGPLAINS,266,293,439,137,0,0,0,0
3605,941,6869,0,0,0,,,WORGOL,317,233,72,292,0,0,0,0
3606,973,7229,0,0,0,,,,0,0,0,0,340,388,385,439
3607,970,0,0,0,0,,,TANK,143,137,328,251,0,0,0,0
3608,941,0,0,0,0,,,NOGARRISON,267,257,336,327,0,0,0,0
3609,949,6876,6878,6914,0,,,BASTIONRISE,324,161,283,507,0,0,0,0
3610,949,6881,6935,6915,0,,,BEASTWATCH,166,161,383,371,0,0,0,0
3611,949,6893,7153,0,0,,,EASTERNRUIN,210,193,525,260,0,0,0,0
3612,949,6880,7402,0,0,,,EVERMORN,297,181,281,444,0,0,0,0
3613,949,6892,0,0,0,,,FOUNDRY,211,221,455,74,0,0,0,0
3614,949,6901,7394,0,0,,,FOUNDRYSOUTH,217,180,454,183,0,0,0,0
3615,949,6891,7319,6889,6900,,,GRONNCANYON,279,241,258,213,0,0,0,0
3616,949,7320,0,0,0,,,HIGHLANDPASS,285,323,547,73,0,0,0,0
3617,949,7158,6885,7304,0,,,HIGHPASS,209,225,411,250,0,0,0,0
3618,949,7411,7415,0,0,,,IRONDOCKS,315,180,350,0,0,0,0,0
3619,949,7149,6884,0,0,,,MUSHROOMS,253,198,444,323,0,0,0,0
3620,949,6887,0,0,0,,,STONEMAULARENA,217,178,259,335,0,0,0,0
3621,949,6877,0,0,0,,,STONEMAULSOUTH,208,142,275,416,0,0,0,0
3622,949,6892,0,0,0,,,STRIPMINE,250,232,312,77,137,426,235,514
3623,949,7224,7298,0,0,,,TANGLEHEART,262,221,451,372,0,0,0,0
3624,950,7072,0,0,0,,,ANCESTRAL,234,191,239,259,0,0,0,0
3625,950,7303,7331,0,0,,,BROKENPRECIPICE,305,227,256,12,0,0,0,0
3626,950,7280,7139,7386,7071,,,ELEMENTALS,286,274,588,0,0,0,0,0
3627,950,7123,7060,7059,0,,,HALLVALOR,236,372,766,118,0,0,0,0
3628,950,7405,7406,7367,7395,,,HIGHMAUL,471,437,0,0,0,0,0,0
3629,950,7070,0,0,0,,,IRONFISTHARBOR,236,242,283,354,0,0,0,0
3630,950,7065,7063,7297,7061,,,LOKRATH,316,221,382,187,0,0,0,0
3631,950,7069,7068,0,0,,,GROMMASHAR,256,301,600,367,0,0,0,0
3632,950,7067,7095,0,0,,,MARGOKS,249,288,753,380,0,0,0,0
3633,950,7385,0,0,0,,,MUSHROOMS,250,287,746,25,0,0,0,0
3634,950,7150,7151,7188,7172,,,OSHUGUN,262,266,366,323,0,0,0,0
3635,950,7376,7375,0,0,,,RINGOFBLOOD,263,287,430,0,0,0,0,0
3636,950,7073,7094,7271,7052,,,RINGOFTRIALS,354,315,523,159,0,0,0,0
3637,950,7296,0,0,0,,,SUNSPRINGWATCH,274,254,312,98,0,0,0,0
3638,950,7074,0,0,0,,,TELAAR,296,272,461,353,0,0,0,0
3639,947,6873,7392,6922,0,,,ANGUISHFORTRESS,309,264,140,160,0,0,0,0
3640,947,6910,0,0,0,,,DARKTIDEROOST,282,201,468,467,0,0,0,0
3641,947,7116,7117,7225,0,,,ELODOR,291,266,426,0,0,0,0,0
3642,947,6923,6793,6921,7049,,,EMBAARI,346,252,270,158,0,0,0,0
3643,947,0,0,0,0,,,GARRISON,223,279,194,0,0,0,0,0
3644,947,6855,6957,7232,0,,,GLOOMSHADE,229,240,319,5,0,0,0,0
3645,947,6797,6772,0,0,,,GULVAR,260,309,26,0,0,0,0,0
3646,947,6930,6931,6944,7216,,,KARABOR,393,318,537,150,0,0,0,0
3647,947,0,0,0,0,,,NOGARRISON,223,279,194,0,0,0,0,0
